// This file contains the names of all the keys and various control devices so that the define keys function
// can print up the right names for stuff. Lovely.

KEYBOARD_TAG			KEYBOARD 

FIRST_KEYBOARD_KEY_TAG		ANY_KEY
DUMMY_TAG			A
DUMMY_TAG			B
DUMMY_TAG			C
DUMMY_TAG			D
DUMMY_TAG			E
DUMMY_TAG			F
DUMMY_TAG			G
DUMMY_TAG			H
DUMMY_TAG			I
DUMMY_TAG			J
DUMMY_TAG			K
DUMMY_TAG			L
DUMMY_TAG			M
DUMMY_TAG			N
DUMMY_TAG			O
DUMMY_TAG			P
DUMMY_TAG			Q
DUMMY_TAG			R
DUMMY_TAG			S
DUMMY_TAG			T
DUMMY_TAG			U
DUMMY_TAG			V
DUMMY_TAG			W
DUMMY_TAG			X
DUMMY_TAG			Y
DUMMY_TAG			Z
DUMMY_TAG			0
DUMMY_TAG			1
DUMMY_TAG			2
DUMMY_TAG			3
DUMMY_TAG			4
DUMMY_TAG			5
DUMMY_TAG			6
DUMMY_TAG			7
DUMMY_TAG			8
DUMMY_TAG			9
DUMMY_TAG			KEYPAD 0
DUMMY_TAG			KEYPAD 1
DUMMY_TAG			KEYPAD 2
DUMMY_TAG			KEYPAD 3
DUMMY_TAG			KEYPAD 4
DUMMY_TAG			KEYPAD 5
DUMMY_TAG			KEYPAD 6
DUMMY_TAG			KEYPAD 7
DUMMY_TAG			KEYPAD 8
DUMMY_TAG			KEYPAD 9
DUMMY_TAG			F1
DUMMY_TAG			F2
DUMMY_TAG			F3
DUMMY_TAG			F4
DUMMY_TAG			F5
DUMMY_TAG			F6
DUMMY_TAG			F7
DUMMY_TAG			F8
DUMMY_TAG			F9
DUMMY_TAG			F10
DUMMY_TAG			F11
DUMMY_TAG			F12
DUMMY_TAG			ESCAPE
DUMMY_TAG			TILDE
DUMMY_TAG			-
DUMMY_TAG			=
DUMMY_TAG			BACKSPACE
DUMMY_TAG			TAB
DUMMY_TAG			[
DUMMY_TAG			]
DUMMY_TAG			RETURN
DUMMY_TAG			:
DUMMY_TAG			QUOTE
DUMMY_TAG			\
DUMMY_TAG			\
DUMMY_TAG			,
DUMMY_TAG			.
DUMMY_TAG			/
DUMMY_TAG			SPACE
DUMMY_TAG			INSERT
DUMMY_TAG			DELETE
DUMMY_TAG			HOME
DUMMY_TAG			END
DUMMY_TAG			PAGE UP
DUMMY_TAG			PAGE DOWN
DUMMY_TAG			CURSOR LEFT
DUMMY_TAG			CURSOR RIGHT
DUMMY_TAG			CURSOR UP
DUMMY_TAG			CURSOR DOWN
DUMMY_TAG			KEYPAD /
DUMMY_TAG			KEYPAD *
DUMMY_TAG			KEYPAD -
DUMMY_TAG			KEYPAD +
DUMMY_TAG			KEYPAD DELETE
DUMMY_TAG			KEYPAD ENTER
DUMMY_TAG			PRINT SCREEN
DUMMY_TAG			PAUSE
DUMMY_TAG			ABNT C1
DUMMY_TAG			YEN
DUMMY_TAG			KANA
DUMMY_TAG			CONVERT
DUMMY_TAG			NO CONVERT
DUMMY_TAG			AT
DUMMY_TAG			CIRCUMFLEX
DUMMY_TAG			COLON2
DUMMY_TAG			KANJI
DUMMY_TAG			LEFT SHIFT
DUMMY_TAG			RIGHT SHIFT
DUMMY_TAG			LEFT CONTROL
DUMMY_TAG			RIGHT CONTROL
DUMMY_TAG			ALT
DUMMY_TAG			ALT GR
DUMMY_TAG			LEFT WINDOWS
DUMMY_TAG			RIGHT WINDOWS
DUMMY_TAG			MENU
DUMMY_TAG			SCROLL LOCK
DUMMY_TAG			NUMBER LOCK
DUMMY_TAG			CAPSLOCK

JOYPAD_TAG			JOYPAD 1 
DUMMY_TAG			JOYPAD 2 
DUMMY_TAG			JOYPAD 3 
DUMMY_TAG			JOYPAD 4 
DUMMY_TAG			JOYPAD 5 
DUMMY_TAG			JOYPAD 6 
DUMMY_TAG			JOYPAD 7 
DUMMY_TAG			JOYPAD 8 
DUMMY_TAG			JOYPAD 9 
DUMMY_TAG			JOYPAD 10 
DUMMY_TAG			JOYPAD 11 
DUMMY_TAG			JOYPAD 12 
DUMMY_TAG			JOYPAD 13 
DUMMY_TAG			JOYPAD 14 
DUMMY_TAG			JOYPAD 15 
DUMMY_TAG			JOYPAD 16 

BUTTON_1_TAG			BUTTON 1
DUMMY_TAG			BUTTON 2
DUMMY_TAG			BUTTON 3
DUMMY_TAG			BUTTON 4
DUMMY_TAG			BUTTON 5
DUMMY_TAG			BUTTON 6
DUMMY_TAG			BUTTON 7
DUMMY_TAG			BUTTON 8
DUMMY_TAG			BUTTON 9
DUMMY_TAG			BUTTON 10
DUMMY_TAG			BUTTON 11
DUMMY_TAG			BUTTON 12
DUMMY_TAG			BUTTON 13
DUMMY_TAG			BUTTON 14
DUMMY_TAG			BUTTON 15
DUMMY_TAG			BUTTON 16
DUMMY_TAG			BUTTON 17
DUMMY_TAG			BUTTON 18
DUMMY_TAG			BUTTON 19
DUMMY_TAG			BUTTON 20
DUMMY_TAG			BUTTON 21
DUMMY_TAG			BUTTON 22
DUMMY_TAG			BUTTON 23
DUMMY_TAG			BUTTON 24
DUMMY_TAG			BUTTON 25
DUMMY_TAG			BUTTON 26
DUMMY_TAG			BUTTON 27
DUMMY_TAG			BUTTON 28
DUMMY_TAG			BUTTON 29
DUMMY_TAG			BUTTON 30
DUMMY_TAG			BUTTON 31
DUMMY_TAG			BUTTON 32

JOYSTICK_TAG			JOYSTICK 

PORT_1_TAG			PORT 1 
DUMMY_TAG			PORT 2 
DUMMY_TAG			PORT 3 
DUMMY_TAG			PORT 4 
DUMMY_TAG			PORT 5 
DUMMY_TAG			PORT 6 
DUMMY_TAG			PORT 7 
DUMMY_TAG			PORT 8 
DUMMY_TAG			PORT 9 
DUMMY_TAG			PORT 10 
DUMMY_TAG			PORT 11 
DUMMY_TAG			PORT 12 
DUMMY_TAG			PORT 13 
DUMMY_TAG			PORT 14 
DUMMY_TAG			PORT 15 
DUMMY_TAG			PORT 16 

STICK_1_TAG			STICK 1 
DUMMY_TAG			STICK 2 
DUMMY_TAG			STICK 3 
DUMMY_TAG			STICK 4 
DUMMY_TAG			STICK 5 
DUMMY_TAG			STICK 6 
DUMMY_TAG			STICK 7 
DUMMY_TAG			STICK 8 
DUMMY_TAG			STICK 9 
DUMMY_TAG			STICK 10 
DUMMY_TAG			STICK 11 
DUMMY_TAG			STICK 12 
DUMMY_TAG			STICK 13 
DUMMY_TAG			STICK 14 
DUMMY_TAG			STICK 15 
DUMMY_TAG			STICK 16 

AXIS_1_TAG			AXIS 1 
DUMMY_TAG			AXIS 2 
DUMMY_TAG			AXIS 3 
DUMMY_TAG			AXIS 4 
DUMMY_TAG			AXIS 5 
DUMMY_TAG			AXIS 6 
DUMMY_TAG			AXIS 7 
DUMMY_TAG			AXIS 8 

AXIS_POSITIVE_TAG		POSITIVE
AXIS_NEGATIVE_TAG		NEGATIVE

FIRST_MOUSE_BUTTON_TAG		LEFT MOUSE BUTTON
DUMMY_TAG			RIGHT MOUSE BUTTON
DUMMY_TAG			MIDDLE MOUSE BUTTON

