WIZTIPS_1_HEADER		WIZTIPS ONE
WIZTIPS_1_TITLE			GETTING STARTED
WIZTIPS_1_1			SHOOT : , : , : ETC...
WIZTIPS_1_2			PICKUP : TO MOVE :

WIZTIPS_1_3			WAGGLE JOYSTICK TO SELECT...

WIZTIPS_1_4			THRUST
WIZTIPS_1_5			ANTI-GRAV
WIZTIPS_1_6			BEAM
WIZTIPS_1_7			DOUBLE
WIZTIPS_1_8			CAT
WIZTIPS_1_9			BLAZERS
WIZTIPS_1_10			WIZSPRAY
WIZTIPS_1_11			CATSPRAY
WIZTIPS_1_12			SMART BOMB
WIZTIPS_1_14			SHIELD



WIZTIPS_2_HEADER		WIZTIPS TWO
WIZTIPS_2_TITLE			CAT CONTROL

WIZTIPS_2_1			ONE PLAYER - HOLD DOWN FIRE
WIZTIPS_2_2			TWO PLAYER TEAM - EXTRA NIFTA CONTROLS

WIZTIPS_2_3			SHOOT ; THEN PICKUP ; WITH CAT FOR...

WIZTIPS_2_4			RED CHEMICAL
WIZTIPS_2_5			GREEN CHEMICAL
WIZTIPS_2_6			BLUE CHEMICAL
WIZTIPS_2_7			FILTH RAID
WIZTIPS_2_8			INDESTRUCTACAT
WIZTIPS_2_9			MUTANT CAT
WIZTIPS_2_10			BONUS WIZBALL
WIZTIPS_2_11			FREAKY BITS



WIZTIPS_3_HEADER		WIZTIPS THREE
WIZTIPS_3_TITLE			GENERAL HINTS

WIZTIPS_3_1			TO START, ALWAYS SELECT THRUST AND THEN
WIZTIPS_3_2			ANTI-GRAV.

WIZTIPS_3_3			TAKE NOTE OF THE ARROWS NEAR THE TUBES, THEY
WIZTIPS_3_4			TELL YOU WHETHER THE TUBE LEADS UP OR DOWN.

WIZTIPS_3_5			HIDING BENEATH THE HORIZON GIVES IMMUNITY TO
WIZTIPS_3_6			ALIEN BULLETS.

WIZTIPS_3_7			AFTER A COLOUR IS COMPLETE, YOU CAN MAKE A
WIZTIPS_3_8			WEAPON PERMANENT. JUST SELECT THE ONE YOU
WIZTIPS_3_9			WANT WHILE WIZZY STIRS HIS POT.

WIZTIPS_3_10			EXTRA LIVES CAN BE SHOT ON THE BONUS LEVEL.
